M_R_kNm_m,M_Rd_neg_kNm_m,M_Rd_pos_kNm_m,M_sec_neg_kNm_m,M_sec_pos_kNm_m,Px_total_kN,V_sec_neg_kN_m,V_sec_pos_kN_m,d_m,di_bw_mm,dp_m,ds_m,e_span_m,e_support_m,error,f_m,g0k_kN_m2,g1k_kN_m2,h_m,minimal_reinforcement_ok,n_bw,ok,pdx_kN_m,pdy_kN_m,pt_diagnosis,pt_m_rd_neg_kNm_m,pt_m_rd_pos_kNm_m,pt_m_sec_neg_kNm_m,pt_m_sec_pos_kNm_m,pt_q_bend_neg_kN_m2,pt_q_bend_pos_kN_m2,qk_zul_bending_kN_m2,qk_zul_gzt_kN_m2,qk_zul_shear_kN_m2,qs_class_neg,qs_class_pos,qs_req_neg,qs_req_pos,qu_bending_kN_m2,qu_shear_kN_m2,rc_M_R_pos_kNm_m,rc_M_Rd_neg_kNm_m,rc_M_Rd_pos_kNm_m,rc_qk_zul_bending_kN_m2,rc_qk_zul_gzt_kN_m2,rc_qk_zul_shear_kN_m2,rc_uls_governing_mode,rebar_xo_mm,rebar_xu_mm,rebar_yo_mm,rebar_yu_mm,s_bw_mm,sin_beta_x,sin_beta_y,uls_governing_mode,x_neg_m,x_neg_over_ds,x_pos_m,x_pos_over_d
219.91307175348027,-0.0708693591240542,0.0708693591240542,32.62020137499999,-23.8541855,2301.027413951378,-2.1024300000000005,2.1024300000000005,0.154,16.0,0.1930901170105733,0.154,0.07809011701057329,-0.07809011701057329,,0.15618023402114659,5.75,0.0,0.23,False,10,True,230.10274139513783,230.10274139513783,minimal reinforcement failed,-0.0708693591240542,0.0708693591240542,32.62020137499999,-23.8541855,6.400941214154629,11.652626778901073,0.0,0.0,21.734057337939948,99,99,2,1,6.400941214154629,41.37608600690992,29.80033333333333,-0.044339380872663314,0.044339380872663314,0.0,0.0,0.0,bending,40.0,40.0,40.0,40.0,150.0,0.06247209360845864,0.06247209360845864,bending,0.23235174038560694,1.5087775349714736,0.23235174038560694,1.5087775349714736
225.18196408880357,-0.08088305910770008,0.08088305910770008,33.3293361875,-24.37275475,2278.1174269285752,-2.1481350000000003,2.1481350000000003,0.159,16.0,0.19809011701057327,0.159,0.08059011701057328,-0.08059011701057328,,0.16118023402114656,5.875,0.0,0.235,False,10,True,227.8117426928575,227.8117426928575,minimal reinforcement failed,-0.08088305910770008,0.08088305910770008,33.3293361875,-24.37275475,6.540092110116383,11.9059447523601,0.0,0.0,23.13427893281399,99,99,2,1,6.540092110116383,43.645168399220985,31.110083333333332,-0.05161294374592332,0.05161294374592332,0.0,0.0,0.5142266592164088,bending,40.0,40.0,40.0,40.0,150.0,0.06447209360845862,0.06447209360845862,bending,0.23221428046347015,1.4604671727262273,0.23221428046347015,1.4604671727262273
230.47194425108054,-0.09164763432734259,0.09164763432734259,34.038471,-24.891323999999997,2256.5860627701422,-2.1938399999999967,2.1938399999999967,0.164,16.0,0.20309011701057328,0.164,0.08309011701057328,-0.08309011701057328,,0.16618023402114657,6.0,0.0,0.24,False,10,True,225.65860627701426,225.65860627701426,minimal reinforcement failed,-0.09164763432734259,0.09164763432734259,34.038471,-24.891323999999997,6.679243006078232,12.159262725819364,0.0,0.0,24.575458112332036,99,99,2,1,6.679243006078232,45.97568716849805,32.448,-0.059425238971791874,0.059425238971791874,0.0,0.0,1.2771016970388385,bending,40.0,40.0,40.0,40.0,150.0,0.06647209360845863,0.06647209360845863,bending,0.23208509227851953,1.4151530016982898,0.23208509227851953,1.4151530016982898
235.78253861097647,-0.10320205689277451,0.10320205689277451,34.7476058125,-25.40989325,2236.3125169738328,-2.239545,2.239545,0.169,16.0,0.20809011701057328,0.169,0.08559011701057329,-0.08559011701057329,,0.17118023402114657,6.125,0.0,0.245,False,10,True,223.63125169738328,223.63125169738328,minimal reinforcement failed,-0.10320205689277451,0.10320205689277451,34.7476058125,-25.40989325,6.818393902040182,12.41258069927888,0.0,0.0,26.057594876494065,99,99,2,1,6.818393902040182,48.3676423147411,33.814083333333336,-0.06779967436521797,0.06779967436521797,0.0,0.0,2.0809343195052667,bending,40.0,40.0,40.0,40.0,150.0,0.06847209360845863,0.06847209360845863,bending,0.2319634510037417,1.3725647988387082,0.2319634510037417,1.3725647988387082
241.11329041157538,-0.11558803718573428,0.11558803718573428,35.456740625,-25.928462500000002,2217.1896987780933,-2.28525,2.28525,0.17400000000000002,16.0,0.2130901170105733,0.17400000000000002,0.08809011701057329,-0.08809011701057329,,0.17618023402114658,6.25,0.0,0.25,False,10,True,221.71896987780934,221.71896987780934,minimal reinforcement failed,-0.11558803718573428,0.11558803718573428,35.456740625,-25.928462500000002,6.957544798002234,12.66589867273865,0.0,0.0,27.580689225300098,99,99,2,1,6.957544798002234,50.82103383795015,35.208333333333336,-0.07676103375276426,0.07676103375276426,0.0,0.0,2.925724526615686,bending,40.0,40.0,40.0,40.0,150.0,0.07047209360845863,0.07047209360845863,bending,0.23184871409456725,1.3324638741067083,0.23184871409456725,1.3324638741067083
246.46375744025386,-0.1288502695427425,0.1288502695427425,36.1658754375,-26.447031749999994,2199.122338883258,-2.330954999999998,2.330954999999998,0.17900000000000002,16.0,0.2180901170105733,0.17900000000000002,0.09059011701057329,-0.09059011701057329,,0.18118023402114658,6.375,0.0,0.255,False,10,True,219.91223388832586,219.91223388832586,minimal reinforcement failed,-0.1288502695427425,0.1288502695427425,36.1658754375,-26.447031749999994,7.096695693964392,12.919216646198686,0.0,0.0,29.14474115875013,99,99,2,1,7.096695693964392,53.335861738125196,36.63075,-0.08633557959016794,0.08633557959016794,0.0,0.0,3.811472318370104,bending,40.0,40.0,40.0,40.0,150.0,0.07247209360845863,0.07247209360845863,bending,0.23174030993519823,1.2946386029899342,0.23174030993519823,1.2946386029899342
251.83351007569533,-0.14303670472408417,0.14303670472408417,36.87501025,-26.965601,2182.0254020835405,-2.3766600000000015,2.3766600000000015,0.18400000000000002,16.0,0.2230901170105733,0.18400000000000002,0.09309011701057329,-0.09309011701057329,,0.18618023402114658,6.5,0.0,0.26,False,10,True,218.20254020835404,218.20254020835404,minimal reinforcement failed,-0.14303670472408417,0.14303670472408417,36.87501025,-26.965601,7.2358465899266635,13.172534619659002,0.0,0.0,30.74975067684415,99,99,2,1,7.2358465899266635,55.91212601526623,38.08133333333333,-0.09655116490245,0.09655116490245,0.0,0.0,4.738177694768519,bending,40.0,40.0,40.0,40.0,150.0,0.07447209360845863,0.07447209360845863,bending,0.23163772831439994,1.258900697360869,0.23163772831439994,1.258900697360869
257.2221296413672,-258.68558490106767,258.68558490106767,37.5841450625,-27.48417025,2165.8227489887904,-2.4223650000000014,2.4223650000000014,0.20500000000000002,16.0,0.2280901170105733,0.20500000000000002,0.0955901170105733,-0.0955901170105733,,0.1911802340211466,6.625,0.0,0.265,True,10,True,216.58227489887906,216.58227489887906,ductility class failed (neg 2>2 or pos 2>1),-258.68558490106767,258.68558490106767,37.5841450625,-27.48417025,57.830062094014274,139.03081856860777,31.91587472934285,31.91587472934285,32.39571777958218,2,2,2,1,57.830062094014274,58.549826669373275,39.56008333333334,-217.22791611333952,217.22791611333952,0.0,0.0,21.18143888768191,bending,24.000000000000007,24.000000000000007,24.000000000000007,24.000000000000007,150.0,0.07647209360845864,0.07647209360845864,bending,0.0916713438186163,0.44717728692007946,0.0916713438186163,0.44717728692007946
262.6292070107846,-266.08620309008296,266.08620309008296,38.293279875,-28.0027395,2150.446002396579,-2.4680700000000013,2.4680700000000013,0.20999999999999996,16.0,0.2330901170105733,0.20999999999999996,0.0980901170105733,-0.0980901170105733,,0.1961802340211466,6.75,0.0,0.27,True,10,True,215.04460023965788,215.04460023965788,ductility class failed (neg 2>2 or pos 2>1),-266.08620309008296,266.08620309008296,38.293279875,-28.0027395,59.46722307470421,143.01334603143331,32.894815383136134,32.894815383136134,34.082642466964174,2,2,2,1,59.46722307470421,61.248963700446254,41.06700000000001,-223.78428339039638,223.78428339039638,0.0,0.0,22.60755886978342,bending,24.000000000000007,24.000000000000007,24.000000000000007,24.000000000000007,150.0,0.07847209360845864,0.07847209360845864,bending,0.09157908333906303,0.43609087304315736,0.09157908333906303,0.43609087304315736
268.05434142075836,-273.4835779687599,273.4835779687599,39.0024146875,-28.521308750000003,2135.8335827108863,-2.5137750000000016,2.5137750000000016,0.21499999999999997,16.0,0.2380901170105733,0.21499999999999997,0.1005901170105733,-0.1005901170105733,,0.2011802340211466,6.875000000000001,0.0,0.275,True,10,True,213.58335827108863,213.58335827108863,ductility class failed (neg 2>2 or pos 2>1),-273.4835779687599,273.4835779687599,39.0024146875,-28.521308750000003,61.08856583204484,146.95649494185758,33.863210554696565,33.863210554696565,35.81052473899018,2,2,2,1,61.08856583204484,64.00953710848528,42.60208333333334,-230.34065066745336,230.34065066745336,0.0,0.0,24.074636436528944,bending,24.000000000000007,24.000000000000007,24.000000000000007,24.000000000000007,150.0,0.08047209360845864,0.08047209360845864,bending,0.09149140882094889,0.42554143637650654,0.09149140882094889,0.42554143637650654
